
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.7046947E-02   0.0000000E+00   0.0000000E+00   0.8394609E-01
      2  -0.5966269E-02   0.0000000E+00   0.0000000E+00   0.7724163E-01
      3  -0.4796688E-02   0.0000000E+00   0.0000000E+00   0.6925812E-01
      4   0.9145389E-03   0.3024135E-01   0.4813060E-02   0.0000000E+00
      5   0.1086005E-02   0.3295459E-01   0.5244886E-02   0.0000000E+00
      6   0.1229125E-02   0.3505888E-01   0.5579795E-02   0.0000000E+00
      7   0.9612311E+03   0.3100373E+02   0.4934396E+01   0.0000000E+00
      8   0.9858523E+04   0.9929009E+02   0.1580251E+02   0.0000000E+00
      9   0.1899113E+05   0.1378083E+03   0.2193287E+02   0.0000000E+00
     10   0.1961262E+05   0.1400451E+03   0.2228887E+02   0.0000000E+00
     11   0.4676363E+05   0.2162490E+03   0.3441710E+02   0.0000000E+00
     12   0.5246590E+05   0.2290544E+03   0.3645513E+02   0.0000000E+00
     13   0.7117001E+05   0.2667771E+03   0.4245889E+02   0.0000000E+00
     14   0.1068788E+06   0.3269233E+03   0.5203145E+02   0.0000000E+00
     15   0.1308054E+06   0.3616702E+03   0.5756160E+02   0.0000000E+00
     16   0.1368790E+06   0.3699716E+03   0.5888280E+02   0.0000000E+00
     17   0.2013462E+06   0.4487161E+03   0.7141539E+02   0.0000000E+00
     18   0.2220219E+06   0.4711920E+03   0.7499254E+02   0.0000000E+00
     19   0.2229315E+06   0.4721562E+03   0.7514599E+02   0.0000000E+00
     20   0.2396180E+06   0.4895079E+03   0.7790761E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.1155904E-03  -0.1010630E-02  -0.3158851E+00  -0.1646673E+03   0.2466699E+03  -0.3313713E+00
      2  -0.9319529E-02   0.7912683E-02  -0.3643547E-01   0.2159806E+02   0.2063612E+03   0.1103797E+02
      3  -0.6235241E-02   0.5565386E-02  -0.9643596E-01  -0.1727437E+03   0.1442037E+03   0.7503829E+01
      4  -0.1710513E+00   0.9073102E-01   0.1805851E-02   0.1577475E+01  -0.4687822E+01   0.3695013E+03
      5  -0.2846644E+00  -0.5702570E-01   0.2338237E-02   0.2180512E+01  -0.6859508E+01   0.1453692E+02
      6   0.1925016E-02  -0.3143933E+00  -0.1511659E-02  -0.2189900E+01   0.6844391E+01  -0.2116896E+03
      7  -0.5132944E-06  -0.4028967E-05   0.2518973E-06   0.5806334E-03   0.4888039E-03  -0.7525691E-03
      8   0.4462145E-06   0.3629863E-06  -0.1877287E-06  -0.1065265E-01   0.4401940E-03   0.1843823E-03
      9  -0.1526973E-06  -0.1931990E-05  -0.2279703E-06  -0.1978189E-02   0.1879449E-01  -0.1466440E-03
     10  -0.1608553E-05   0.9321726E-07   0.4086169E-07   0.1825870E-01   0.1883693E-02   0.3667591E-04
     11  -0.1195507E-06   0.2152248E-05  -0.1440596E-07   0.8581903E-03  -0.1690574E-01   0.2995606E-04
     12  -0.9374954E-06  -0.5631105E-06  -0.2939348E-07   0.9527195E-02   0.1145628E-02  -0.1270852E-03
     13   0.3777186E-06  -0.4146107E-07  -0.2683310E-08  -0.1212919E-01   0.4669119E-04  -0.1272684E-04
     14  -0.3718092E-07  -0.2485540E-05  -0.4736422E-08   0.1079757E-02   0.1708722E-01  -0.9024989E-03
     15  -0.2586608E-06  -0.1637415E-07   0.9712581E-08  -0.1437409E-01   0.8562407E-03  -0.2319304E-05
     16  -0.4797737E-06   0.1161637E-07  -0.1502392E-07   0.1443736E-01  -0.1096293E-02  -0.4380141E-05
     17   0.1689273E-07   0.4485784E-06   0.8459934E-08   0.1981726E-03  -0.2454730E-04  -0.3502618E-03
     18  -0.1200951E-05   0.3409828E-05  -0.1444105E-07   0.9809345E-02  -0.6058205E-02   0.3018041E-03
     19   0.1622755E-05   0.2516390E-05  -0.7851469E-08  -0.1469548E-01  -0.4356297E-02   0.2312322E-03
     20  -0.8622242E-07   0.3634614E-06   0.4003071E-08   0.3860902E-04  -0.4096696E-03   0.4498415E-04

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1336115E-07   0.1021374E-05   0.9978337E-01   0.2711532E+05   0.6084603E+05   0.1098070E+00
      2   0.8685362E-04   0.6261056E-04   0.1327544E-02   0.4664763E+03   0.4258496E+05   0.1218368E+03
      3   0.3887823E-04   0.3097353E-04   0.9299894E-02   0.2984040E+05   0.2079470E+05   0.5630745E+02
      4   0.2925855E-01   0.8232118E-02   0.3261099E-05   0.2488429E+01   0.2197567E+02   0.1365312E+06
      5   0.8103382E-01   0.3251931E-02   0.5467352E-05   0.4754634E+01   0.4705285E+02   0.2113220E+03
      6   0.3705686E-05   0.9884317E-01   0.2285114E-05   0.4795664E+01   0.4684569E+02   0.4481250E+05
      7   0.2634712E-12   0.1623257E-10   0.6345223E-13   0.3371351E-06   0.2389293E-06   0.5663602E-06
      8   0.1991073E-12   0.1317591E-12   0.3524205E-13   0.1134790E-03   0.1937708E-06   0.3399683E-07
      9   0.2331648E-13   0.3732586E-11   0.5197045E-13   0.3913230E-05   0.3532328E-03   0.2150447E-07
     10   0.2587444E-11   0.8689458E-14   0.1669678E-14   0.3333802E-03   0.3548301E-05   0.1345123E-08
     11   0.1429237E-13   0.4632172E-11   0.2075316E-15   0.7364906E-06   0.2858042E-03   0.8973653E-09
