
                        S T E P       1


      E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                            (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

       1    0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
       2    0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
       3    0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
       4    5.2240352E-07   7.2277487E-04   1.1503319E-04   0.0000000E+00
       5    3.1330699E-06   1.7700480E-03   2.8171189E-04   0.0000000E+00
       6    1.2560188E-05   3.5440356E-03   5.6405078E-04   0.0000000E+00
       7    9.6249520E+02   3.1024107E+01   4.9376399E+00   0.0000000E+00
       8    9.1786139E+03   9.5805083E+01   1.5247852E+01   0.0000000E+00
       9    1.5433096E+04   1.2423001E+02   1.9771821E+01   0.0000000E+00
      10    2.0226742E+04   1.4222075E+02   2.2635135E+01   0.0000000E+00
      11    4.7265342E+04   2.1740594E+02   3.4601230E+01   0.0000000E+00
      12    5.7392589E+04   2.3956750E+02   3.8128353E+01   0.0000000E+00
      13    7.3390364E+04   2.7090656E+02   4.3116118E+01   0.0000000E+00
      14    7.6566390E+04   2.7670632E+02   4.4039179E+01   0.0000000E+00
      15    8.0670127E+04   2.8402487E+02   4.5203962E+01   0.0000000E+00
      16    9.3241009E+04   3.0535391E+02   4.8598584E+01   0.0000000E+00
      17    1.0736411E+05   3.2766463E+02   5.2149446E+01   0.0000000E+00
      18    1.3043292E+05   3.6115498E+02   5.7479600E+01   0.0000000E+00
      19    1.5329787E+05   3.9153271E+02   6.2314367E+01   0.0000000E+00
      20    1.5716833E+05   3.9644461E+02   6.3096119E+01   0.0000000E+00

      P A R T I C I P A T I O N   F A C T O R S

 MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

       1   2.5273516E-02   1.1520703E-02   5.7458277E-02   3.2884454E+01   1.3596066E+01  -3.3965014E+00
       2   2.5407582E-02   6.0643959E-02  -5.4074753E-02   1.2081467E+01  -2.8331479E+01  -2.5932194E+01
       3   1.3175933E-02   3.6761808E-02   7.2110750E-02  -1.4358807E+01  -3.5028467E+01   1.0327305E+01
       4  -1.5982681E-02  -4.2591269E-02  -1.8915391E-02   1.6365008E+01  -3.4350305E+01   4.4149883E+01
       5  -2.1499435E-02   7.1382138E-02  -1.5112357E-02   2.0353096E-01   2.0915927E+01   4.8375583E+01
       6  -1.0053503E-01   1.4546205E-02   1.6468053E-02   6.7930894E+00  -7.3448765E+00  -2.3417959E+01
       7  -1.9426871E-11  -2.0251242E-10  -3.2922207E-11   1.0347295E-07   3.3187189E-07   2.0385767E-07
       8  -1.8975031E-11  -4.5842631E-12   8.9396863E-13  -1.2669702E-08  -1.7233634E-09  -6.2711983E-09
       9   1.9501463E-11  -4.3792333E-12   5.9104163E-12   1.8190348E-10   1.1136767E-08   1.3585827E-09
      10  -1.4929056E-11   9.1872849E-12   5.0036217E-12   5.2535140E-09  -8.8625673E-10  -1.6309175E-08
      11   9.3940972E-12  -3.0387873E-12   8.0768615E-12   5.7616938E-09   7.2368909E-09   7.0049926E-09
      12   1.6251703E-12   1.2618289E-11  -2.2160670E-12   1.7067768E-09   2.1611084E-09  -2.4358823E-09
      13   2.7206236E-12  -1.2320656E-12   2.3769236E-12   7.3889312E-10  -1.5054640E-09   3.2790292E-09
      14  -5.0200771E-12  -1.3013137E-12  -5.0366551E-12  -2.4081948E-09  -4.8462673E-10   1.4334794E-09
      15   2.7109605E-12   2.0150827E-12   5.7271748E-13   2.2097100E-09   7.0848077E-10   5.2081562E-09
      16   7.8537981E-12  -1.4027084E-12   1.6168489E-12   2.8128077E-09   8.6578513E-11   2.8392611E-09
