# part, Chassis
# scenario, Step 4: Corner 2-3-5 @ 300.000m
# drop_mode, LTL
# drop_direction, Corner 2-3-5
# drop_height_m, 300.0000
# dims_mm, 1892, 1082, 35
# C1, 946.0, 541.0, 17.4
# C2, 946.0, -541.0, 17.4
# C3, -946.0, -541.0, 17.4
# C4, -946.0, 541.0, 17.4
# C5, 946.0, 541.0, -17.4
# C6, 946.0, -541.0, -17.4
# C7, -946.0, -541.0, -17.4
# C8, -946.0, 541.0, -17.4
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
0,0.203000,-0.944045,0.057916,301.535487,-0.944045,0.023113,301.538085,-0.009525,0.098514,302.079313,-0.009524,0.063710,302.081911,0.009543,-0.063708,299.905904,0.009543,-0.098511,299.908502,0.944063,-0.023110,300.449730,0.944064,-0.057914,300.452328
1,0.205000,-0.944044,0.057915,301.531553,-0.944044,0.023111,301.534151,-0.009523,0.098508,302.075378,-0.009522,0.063705,302.077976,0.009542,-0.063702,299.901968,0.009542,-0.098505,299.904566,0.944063,-0.023109,300.445793,0.944063,-0.057912,300.448391
2,0.207000,-0.944043,0.057913,301.527582,-0.944043,0.023110,301.530179,-0.009521,0.098502,302.071406,-0.009521,0.063699,302.074003,0.009541,-0.063696,299.897995,0.009541,-0.098499,299.900592,0.944063,-0.023107,300.441819,0.944063,-0.057911,300.444416
3,0.209000,-0.944042,0.057912,301.523573,-0.944042,0.023109,301.526170,-0.009519,0.098496,302.067396,-0.009519,0.063693,302.069993,0.009539,-0.063690,299.893984,0.009539,-0.098493,299.896581,0.944062,-0.023106,300.437807,0.944062,-0.057909,300.440404
4,0.211000,-0.944041,0.057910,301.519526,-0.944040,0.023107,301.522123,-0.009517,0.098490,302.063349,-0.009517,0.063686,302.065946,0.009538,-0.063684,299.889936,0.009538,-0.098487,299.892532,0.944062,-0.023104,300.433758,0.944062,-0.057907,300.436355
5,0.213000,-0.944039,0.057909,301.515443,-0.944039,0.023105,301.518039,-0.009515,0.098483,302.059264,-0.009515,0.063680,302.061861,0.009537,-0.063677,299.885850,0.009537,-0.098480,299.888447,0.944062,-0.023102,300.429671,0.944062,-0.057906,300.432268
6,0.215000,-0.944038,0.057907,301.511322,-0.944038,0.023104,301.513918,-0.009513,0.098477,302.055142,-0.009513,0.063673,302.057738,0.009536,-0.063670,299.881727,0.009536,-0.098473,299.884323,0.944061,-0.023101,300.425547,0.944061,-0.057904,300.428143
7,0.217000,-0.944037,0.057905,301.507163,-0.944037,0.023102,301.509760,-0.009511,0.098470,302.050982,-0.009511,0.063666,302.053579,0.009535,-0.063663,299.877566,0.009534,-0.098466,299.880162,0.944061,-0.023099,300.421385,0.944061,-0.057902,300.423982
8,0.219000,-0.944036,0.057904,301.502968,-0.944036,0.023101,301.505564,-0.009509,0.098463,302.046786,-0.009509,0.063659,302.049382,0.009533,-0.063656,299.873368,0.009533,-0.098459,299.875964,0.944060,-0.023097,300.417187,0.944060,-0.057900,300.419783
9,0.221000,-0.944034,0.057902,301.498735,-0.944035,0.023099,301.501330,-0.009506,0.098456,302.042552,-0.009507,0.063652,302.045147,0.009532,-0.063649,299.869133,0.009532,-0.098452,299.871729,0.944060,-0.023095,300.412950,0.944060,-0.057898,300.415546
