Frame,Time,C5_pos_X,C6_pos_X,C7_pos_X,C8_pos_X,C5_pos_Y,C6_pos_Y,C7_pos_Y,C8_pos_Y,C5_pos_Z,C6_pos_Z,C7_pos_Z,C8_pos_Z
0,0.000000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.916435,0.313273,0.300000,0.903163
1,0.001200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.916435,0.313273,0.300000,0.903163
2,0.003600,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.916393,0.313230,0.299958,0.903120
3,0.006000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.916294,0.313132,0.299859,0.903021
4,0.008400,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.916139,0.312976,0.299703,0.902866
5,0.010800,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.915927,0.312764,0.299491,0.902654
6,0.013200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.915659,0.312496,0.299223,0.902386
7,0.015600,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.915334,0.312171,0.298898,0.902061
8,0.018000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.914953,0.311790,0.298517,0.901680
9,0.020400,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.914515,0.311352,0.298080,0.901242
10,0.022800,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.914021,0.310859,0.297586,0.900748
11,0.025200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.913471,0.310308,0.297036,0.900198
12,0.027600,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.912864,0.309702,0.296429,0.899592
13,0.030000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.912202,0.309039,0.295766,0.898929
14,0.032400,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.911483,0.308320,0.295047,0.898210
15,0.034800,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.910708,0.307545,0.294272,0.897435
16,0.037200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.909877,0.306714,0.293441,0.896604
17,0.039600,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.908990,0.305827,0.292554,0.895717
18,0.042000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.908047,0.304884,0.291611,0.894774
19,0.044400,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177508,-0.000003,0.045143,0.907048,0.303885,0.290612,0.893775
20,0.046800,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.905993,0.302831,0.289558,0.892720
21,0.049200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.904883,0.301720,0.288447,0.891610
22,0.051600,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.903717,0.300554,0.287281,0.890444
23,0.054000,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.902495,0.299332,0.286060,0.889222
24,0.056400,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.901218,0.298055,0.284782,0.887945
25,0.058800,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000003,0.045144,0.899885,0.296723,0.283450,0.886612
26,0.061200,1.036366,-0.000049,-0.000057,1.036358,-0.132361,-0.177507,-0.000002,0.045144,0.898497,0.295335,0.282062,0.885224
27,0.063600,1.036366,-0.000050,-0.000057,1.036358,-0.132361,-0.177507,-0.000002,0.045144,0.897054,0.293891,0.280619,0.883781
28,0.066000,1.036366,-0.000050,-0.000057,1.036358,-0.132361,-0.177507,-0.000002,0.045144,0.895555,0.292393,0.279120,0.882283
29,0.068400,1.036366,-0.000050,-0.000057,1.036358,-0.132361,-0.177506,-0.000002,0.045144,0.894002,0.290840,0.277567,0.880729
30,0.070800,1.036366,-0.000050,-0.000058,1.036358,-0.132361,-0.177506,-0.000002,0.045144,0.892393,0.289231,0.275959,0.879121
31,0.073200,1.036366,-0.000050,-0.000058,1.036358,-0.132361,-0.177506,-0.000002,0.045144,0.890730,0.287568,0.274295,0.877457
32,0.075600,1.036366,-0.000050,-0.000058,1.036358,-0.132361,-0.177506,-0.000001,0.045144,0.889012,0.285850,0.272577,0.875739
33,0.078000,1.036366,-0.000050,-0.000058,1.036358,-0.132360,-0.177506,-0.000001,0.045144,0.887239,0.284077,0.270804,0.873966
34,0.080400,1.036366,-0.000050,-0.000058,1.036358,-0.132360,-0.177505,-0.000001,0.045144,0.885411,0.282250,0.268977,0.872139
