# chassis, 1600, 1200, 120
# start time, 1.2
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
0,0.000000,0.921444,-0.088763,1.110644,-0.114972,-0.133910,0.507481,-0.921438,-0.030903,1.885524,0.114977,0.014244,2.488687,0.921438,0.030903,1.101696,-0.114977,-0.014244,0.498533,-0.921444,0.088763,1.876576,0.114972,0.133910,2.479739
1,0.001000,0.921444,-0.088763,1.110634,-0.114972,-0.133910,0.507472,-0.921438,-0.030903,1.885514,0.114977,0.014244,2.488677,0.921438,0.030903,1.101686,-0.114977,-0.014244,0.498524,-0.921444,0.088763,1.876566,0.114972,0.133910,2.479729
2,0.003000,0.921444,-0.088763,1.110585,-0.114972,-0.133910,0.507423,-0.921438,-0.030903,1.885465,0.114977,0.014244,2.488628,0.921438,0.030903,1.101637,-0.114977,-0.014244,0.498475,-0.921444,0.088763,1.876517,0.114972,0.133910,2.479680
3,0.005000,0.921444,-0.088763,1.110497,-0.114972,-0.133910,0.507334,-0.921438,-0.030903,1.885377,0.114977,0.014244,2.488539,0.921438,0.030903,1.101549,-0.114977,-0.014244,0.498386,-0.921444,0.088763,1.876429,0.114972,0.133910,2.479591
4,0.007000,0.921444,-0.088763,1.110369,-0.114972,-0.133910,0.507207,-0.921438,-0.030903,1.885249,0.114977,0.014244,2.488412,0.921438,0.030903,1.101421,-0.114977,-0.014244,0.498259,-0.921444,0.088763,1.876301,0.114972,0.133910,2.479464
5,0.009000,0.921444,-0.088763,1.110203,-0.114972,-0.133910,0.507040,-0.921438,-0.030903,1.885082,0.114977,0.014244,2.488245,0.921438,0.030903,1.101255,-0.114977,-0.014244,0.498092,-0.921444,0.088763,1.876135,0.114972,0.133910,2.479297
6,0.011000,0.921444,-0.088763,1.109997,-0.114972,-0.133910,0.506834,-0.921438,-0.030903,1.884876,0.114977,0.014244,2.488039,0.921438,0.030903,1.101049,-0.114977,-0.014244,0.497886,-0.921444,0.088763,1.875929,0.114972,0.133910,2.479091
7,0.013000,0.921444,-0.088763,1.109751,-0.114972,-0.133910,0.506589,-0.921438,-0.030903,1.884631,0.114977,0.014244,2.487794,0.921438,0.030903,1.100803,-0.114977,-0.014244,0.497641,-0.921444,0.088763,1.875683,0.114972,0.133910,2.478846
8,0.015000,0.921444,-0.088763,1.109467,-0.114972,-0.133910,0.506304,-0.921438,-0.030903,1.884347,0.114977,0.014244,2.487509,0.921438,0.030903,1.100519,-0.114977,-0.014244,0.497356,-0.921444,0.088763,1.875399,0.114972,0.133910,2.478561
9,0.017000,0.921444,-0.088763,1.109143,-0.114972,-0.133910,0.505981,-0.921438,-0.030903,1.884023,0.114977,0.014244,2.487186,0.921438,0.030903,1.100195,-0.114977,-0.014244,0.497033,-0.921444,0.088763,1.875075,0.114972,0.133910,2.478238
10,0.019000,0.921444,-0.088763,1.108780,-0.114972,-0.133910,0.505618,-0.921438,-0.030903,1.883660,0.114977,0.014244,2.486823,0.921438,0.030903,1.099832,-0.114977,-0.014244,0.496670,-0.921444,0.088763,1.874712,0.114972,0.133910,2.477875
11,0.021000,0.921444,-0.088763,1.108378,-0.114972,-0.133910,0.505216,-0.921438,-0.030903,1.883258,0.114977,0.014244,2.486421,0.921438,0.030903,1.099430,-0.114977,-0.014244,0.496268,-0.921444,0.088763,1.874310,0.114972,0.133910,2.477473
12,0.023000,0.921444,-0.088763,1.107937,-0.114972,-0.133910,0.504774,-0.921438,-0.030903,1.882817,0.114977,0.014244,2.485979,0.921438,0.030903,1.098989,-0.114977,-0.014244,0.495826,-0.921444,0.088763,1.873869,0.114972,0.133910,2.477031
13,0.025000,0.921444,-0.088763,1.107456,-0.114972,-0.133910,0.504294,-0.921438,-0.030903,1.882336,0.114977,0.014244,2.485499,0.921438,0.030903,1.098508,-0.114977,-0.014244,0.495346,-0.921444,0.088763,1.873388,0.114972,0.133910,2.476551
14,0.027000,0.921444,-0.088763,1.106937,-0.114972,-0.133910,0.503774,-0.921438,-0.030903,1.881816,0.114977,0.014244,2.484979,0.921438,0.030903,1.097989,-0.114977,-0.014244,0.494826,-0.921444,0.088763,1.872868,0.114972,0.133910,2.476031
15,0.029000,0.921444,-0.088763,1.106378,-0.114972,-0.133910,0.503215,-0.921438,-0.030903,1.881257,0.114977,0.014244,2.484420,0.921438,0.030903,1.097430,-0.114977,-0.014244,0.494267,-0.921444,0.088763,1.872309,0.114972,0.133910,2.475472
16,0.031000,0.921444,-0.088763,1.105779,-0.114972,-0.133910,0.502617,-0.921438,-0.030903,1.880659,0.114977,0.014244,2.483822,0.921438,0.030903,1.096831,-0.114977,-0.014244,0.493669,-0.921444,0.088763,1.871711,0.114972,0.133910,2.474874
17,0.033000,0.921444,-0.088763,1.105142,-0.114972,-0.133910,0.501979,-0.921438,-0.030903,1.880022,0.114977,0.014244,2.483185,0.921438,0.030903,1.096194,-0.114977,-0.014244,0.493031,-0.921444,0.088763,1.871074,0.114972,0.133910,2.474237
18,0.035000,0.921444,-0.088763,1.104465,-0.114972,-0.133910,0.501303,-0.921438,-0.030903,1.879345,0.114977,0.014244,2.482508,0.921438,0.030903,1.095517,-0.114977,-0.014244,0.492355,-0.921444,0.088763,1.870397,0.114972,0.133910,2.473560
19,0.037000,0.921444,-0.088763,1.103750,-0.114972,-0.133910,0.500587,-0.921438,-0.030903,1.878630,0.114977,0.014244,2.481792,0.921438,0.030903,1.094802,-0.114977,-0.014244,0.491639,-0.921444,0.088763,1.869682,0.114972,0.133910,2.472844
20,0.039000,0.921444,-0.088763,1.102995,-0.114972,-0.133910,0.499832,-0.921438,-0.030903,1.877875,0.114977,0.014244,2.481037,0.921438,0.030903,1.094047,-0.114977,-0.014244,0.490884,-0.921444,0.088763,1.868927,0.114972,0.133910,2.472089
21,0.041000,0.921444,-0.088763,1.102201,-0.114972,-0.133910,0.499038,-0.921438,-0.030903,1.877081,0.114977,0.014244,2.480243,0.921438,0.030903,1.093253,-0.114977,-0.014244,0.490090,-0.921444,0.088763,1.868133,0.114972,0.133910,2.471295
22,0.043000,0.921443,-0.088763,1.101367,-0.114972,-0.133910,0.498205,-0.921438,-0.030903,1.876247,0.114977,0.014244,2.479410,0.921438,0.030903,1.092420,-0.114977,-0.014244,0.489257,-0.921443,0.088763,1.867300,0.114972,0.133910,2.470462
23,0.045000,0.921443,-0.088763,1.100495,-0.114972,-0.133910,0.497332,-0.921438,-0.030903,1.875375,0.114977,0.014244,2.478538,0.921438,0.030903,1.091547,-0.114977,-0.014244,0.488385,-0.921443,0.088763,1.866427,0.114972,0.133910,2.469590
24,0.047000,0.921443,-0.088763,1.099584,-0.114972,-0.133910,0.496421,-0.921438,-0.030903,1.874464,0.114977,0.014244,2.477626,0.921438,0.030903,1.090636,-0.114977,-0.014244,0.487473,-0.921443,0.088763,1.865516,0.114972,0.133910,2.468678
25,0.049000,0.921443,-0.088763,1.098633,-0.114972,-0.133910,0.495470,-0.921438,-0.030903,1.873513,0.114977,0.014244,2.476675,0.921438,0.030903,1.089685,-0.114977,-0.014244,0.486522,-0.921443,0.088763,1.864565,0.114972,0.133910,2.467728
26,0.051000,0.921443,-0.088763,1.097643,-0.114972,-0.133910,0.494480,-0.921438,-0.030903,1.872523,0.114977,0.014244,2.475686,0.921438,0.030903,1.088695,-0.114977,-0.014244,0.485533,-0.921443,0.088763,1.863575,0.114972,0.133909,2.466738
