# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
0,0.000000,0.114886,-0.133984,0.507482,-0.921475,-0.088829,1.110736,-0.114886,0.014319,2.488696,0.921475,-0.030836,1.885442,0.114886,-0.014319,0.498524,-0.921475,0.030836,1.101778,-0.114886,0.133984,2.479738,0.921475,0.088829,1.876484
1,0.001000,0.114886,-0.133984,0.507472,-0.921475,-0.088829,1.110726,-0.114886,0.014319,2.488686,0.921475,-0.030836,1.885432,0.114886,-0.014319,0.498514,-0.921475,0.030836,1.101768,-0.114886,0.133984,2.479729,0.921475,0.088829,1.876475
2,0.003000,0.114886,-0.133984,0.507423,-0.921475,-0.088829,1.110677,-0.114886,0.014319,2.488637,0.921475,-0.030836,1.885383,0.114886,-0.014319,0.498465,-0.921475,0.030836,1.101719,-0.114886,0.133984,2.479680,0.921475,0.088829,1.876426
3,0.005000,0.114886,-0.133984,0.507334,-0.921475,-0.088829,1.110588,-0.114886,0.014319,2.488549,0.921475,-0.030836,1.885295,0.114886,-0.014319,0.498377,-0.921475,0.030836,1.101631,-0.114886,0.133984,2.479591,0.921475,0.088829,1.876337
4,0.007000,0.114886,-0.133984,0.507207,-0.921475,-0.088829,1.110461,-0.114886,0.014319,2.488421,0.921475,-0.030836,1.885167,0.114886,-0.014319,0.498249,-0.921475,0.030836,1.101503,-0.114886,0.133984,2.479464,0.921475,0.088829,1.876210
5,0.009000,0.114886,-0.133984,0.507040,-0.921475,-0.088829,1.110294,-0.114886,0.014319,2.488255,0.921475,-0.030836,1.885001,0.114886,-0.014319,0.498083,-0.921475,0.030836,1.101337,-0.114886,0.133984,2.479297,0.921475,0.088829,1.876043
6,0.011000,0.114886,-0.133984,0.506834,-0.921475,-0.088829,1.110088,-0.114886,0.014319,2.488049,0.921475,-0.030836,1.884795,0.114886,-0.014319,0.497877,-0.921475,0.030836,1.101131,-0.114886,0.133984,2.479091,0.921475,0.088829,1.875837
7,0.013000,0.114886,-0.133984,0.506589,-0.921475,-0.088829,1.109843,-0.114886,0.014319,2.487803,0.921475,-0.030836,1.884549,0.114886,-0.014319,0.497632,-0.921475,0.030836,1.100886,-0.114886,0.133984,2.478846,0.921475,0.088829,1.875592
8,0.015000,0.114886,-0.133984,0.506305,-0.921475,-0.088829,1.109559,-0.114886,0.014319,2.487519,0.921475,-0.030836,1.884265,0.114886,-0.014319,0.497347,-0.921475,0.030836,1.100601,-0.114886,0.133984,2.478562,0.921475,0.088829,1.875308
9,0.017000,0.114886,-0.133984,0.505981,-0.921475,-0.088829,1.109235,-0.114886,0.014319,2.487196,0.921475,-0.030836,1.883942,0.114886,-0.014319,0.497024,-0.921475,0.030836,1.100278,-0.114886,0.133984,2.478238,0.921475,0.088829,1.874984
