# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
0,0.000000,-0.800001,-0.599999,0.960000,-0.799999,0.600001,0.960000,0.800001,0.599999,0.960000,0.799999,-0.600001,0.960000,-0.800001,-0.599999,0.840000,-0.799999,0.600001,0.840000,0.800001,0.599999,0.840000,0.799999,-0.600001,0.840000
1,0.001000,-0.800001,-0.599999,0.959990,-0.799999,0.600001,0.959990,0.800001,0.599999,0.959990,0.799999,-0.600001,0.959990,-0.800001,-0.599999,0.839990,-0.799999,0.600001,0.839990,0.800001,0.599999,0.839990,0.799999,-0.600001,0.839990
2,0.003000,-0.800001,-0.599999,0.959941,-0.799999,0.600001,0.959941,0.800001,0.599999,0.959941,0.799999,-0.600001,0.959941,-0.800001,-0.599999,0.839941,-0.799999,0.600001,0.839941,0.800001,0.599999,0.839941,0.799999,-0.600001,0.839941
3,0.005000,-0.800001,-0.599999,0.959853,-0.799999,0.600001,0.959853,0.800001,0.599999,0.959853,0.799999,-0.600001,0.959853,-0.800001,-0.599999,0.839853,-0.799999,0.600001,0.839853,0.800001,0.599999,0.839853,0.799999,-0.600001,0.839853
4,0.007000,-0.800001,-0.599999,0.959725,-0.799999,0.600001,0.959725,0.800001,0.599999,0.959725,0.799999,-0.600001,0.959725,-0.800001,-0.599999,0.839725,-0.799999,0.600001,0.839725,0.800001,0.599999,0.839725,0.799999,-0.600001,0.839725
5,0.009000,-0.800001,-0.599999,0.959559,-0.799999,0.600001,0.959559,0.800001,0.599999,0.959559,0.799999,-0.600001,0.959559,-0.800001,-0.599999,0.839559,-0.799999,0.600001,0.839559,0.800001,0.599999,0.839559,0.799999,-0.600001,0.839559
6,0.011000,-0.800001,-0.599999,0.959353,-0.799999,0.600001,0.959353,0.800001,0.599999,0.959353,0.799999,-0.600001,0.959353,-0.800001,-0.599999,0.839353,-0.799999,0.600001,0.839353,0.800001,0.599999,0.839353,0.799999,-0.600001,0.839353
7,0.013000,-0.800001,-0.599999,0.959108,-0.799999,0.600001,0.959108,0.800001,0.599999,0.959108,0.799999,-0.600001,0.959108,-0.800001,-0.599999,0.839108,-0.799999,0.600001,0.839108,0.800001,0.599999,0.839108,0.799999,-0.600001,0.839108
8,0.015000,-0.800001,-0.599999,0.958823,-0.799999,0.600001,0.958823,0.800001,0.599999,0.958823,0.799999,-0.600001,0.958823,-0.800001,-0.599999,0.838823,-0.799999,0.600001,0.838823,0.800001,0.599999,0.838823,0.799999,-0.600001,0.838823
9,0.017000,-0.800001,-0.599999,0.958500,-0.799999,0.600001,0.958500,0.800001,0.599999,0.958500,0.799999,-0.600001,0.958500,-0.800001,-0.599999,0.838500,-0.799999,0.600001,0.838500,0.800001,0.599999,0.838500,0.799999,-0.600001,0.838500
